"x1","x2","y_obs","y_hat","y_hat_sd","residual"
0,0,0,28.6495001040529,131.064487287552,-28.6495001040529
0,3.2258062,1,28.9809886110554,112.795838207309,-27.9809886110554
0,6.4516125,0,31.4504888813442,110.766932343939,-31.4504888813442
0,9.677419,4,35.6722110178784,119.44992146715,-31.6722110178784
0,12.903225,5,38.156770269776,116.830128367387,-33.156770269776
0,16.129032,4,41.7675383611403,121.282037497679,-37.7675383611403
0,19.354837,1,44.2404147932544,120.633977191216,-43.2404147932544
0,22.580643,3,46.7396761020004,122.571950361532,-43.7396761020004
0,25.80645,2,47.9908893014231,120.690914713494,-45.9908893014231
0,29.032257,2,44.8809950358936,100.014612670963,-42.8809950358936
0,32.258064,0,40.8440157741801,79.7462430964367,-40.8440157741801
0,35.483868,7,35.9079768230781,60.8885675839597,-28.9079768230781
0,38.709675,8,29.812888057453,43.727125196258,-21.812888057453
0,41.935482,3,23.1184115105055,29.192859989251,-20.1184115105055
0,45.161285,1,17.3062014755197,19.2293420029327,-16.3062014755197
0,48.387093,2,12.3397920833459,11.6057273191322,-10.3397920833459
0,51.6129,2,9.0936273758232,7.79998198770195,-7.0936273758232
0,54.838707,0,7.36020860775221,6.18551654302094,-7.36020860775221
0,58.064514,4,6.3988050579001,5.67569909729968,-2.3988050579001
0,61.290318,10,5.92315929489983,5.90294438172943,4.07684070510017
0,64.51613,10,5.59772429187837,6.15664309779654,4.40227570812163
0,67.74193,4,5.39815696908324,6.7752762199924,-1.39815696908324
0,70.967735,3,5.29592159135949,7.82119712464731,-2.29592159135949
0,74.19354,7,5.19842425823914,9.03359778997543,1.80157574176086
0,77.41935,6,4.89678796295259,9.52214044870231,1.10321203704741
0,80.64516,1,4.73130816144845,10.6328372037607,-3.73130816144845
0,83.870964,3,4.66984042735488,12.3285914533105,-1.66984042735488
0,87.09677,1,4.53931958603094,13.5649565595909,-3.53931958603094
0,90.32257,3,4.64244099313324,16.4288757813998,-1.64244099313324
0,93.54838,2,4.6518922070175,18.7776607732627,-2.6518922070175
0,96.774185,0,4.82478824118611,22.6770298460284,-4.82478824118611
0,100,1,5.38825077232004,31.2312029180331,-4.38825077232004
3.2258062,0,1,20.9772946557019,65.2660620552759,-19.9772946557019
3.2258062,3.2258062,0,22.7752469178095,61.90882680839,-22.7752469178095
3.2258062,6.4516125,2,25.7239839955155,63.553928394937,-23.7239839955155
3.2258062,9.677419,0,28.7234970156285,64.8000152464155,-28.7234970156285
3.2258062,12.903225,4,33.0586551885346,71.5139102696961,-29.0586551885346
3.2258062,16.129032,5,37.7406716799219,79.7761706277215,-32.7406716799219
3.2258062,19.354837,4,41.8000034917142,86.5058906429239,-37.8000034917142
3.2258062,22.580643,1,44.6650406322587,89.760599652178,-43.6650406322587
3.2258062,25.80645,3,45.6210635890334,86.6809112565744,-42.6210635890334
3.2258062,29.032257,4,44.5721032306666,77.4047256287279,-40.5721032306666
3.2258062,32.258064,4,41.6120816167624,63.5358841269723,-37.6120816167624
3.2258062,35.483868,9,37.5220269626286,49.7343627889255,-28.5220269626286
3.2258062,38.709675,3,31.1272460874845,34.2381250487341,-28.1272460874845
3.2258062,41.935482,2,24.4476105145537,22.7683060796159,-22.4476105145537
3.2258062,45.161285,4,17.1358959007183,13.3030078525822,-13.1358959007183
3.2258062,48.387093,1,11.4892410377926,7.73482270933656,-10.4892410377926
3.2258062,51.6129,1,7.9644036226222,4.49422052700219,-6.9644036226222
3.2258062,54.838707,0,6.24375445988864,3.4880096644401,-6.24375445988864
3.2258062,58.064514,7,5.38230802171602,3.33737996054928,1.61769197828398
3.2258062,61.290318,12,5.05986115952874,3.68647831672569,6.94013884047126
3.2258062,64.51613,14,4.86683233368441,4.03022142924291,9.13316766631559
3.2258062,67.74193,5,4.73355691109549,4.57940418919728,0.266443088904511
3.2258062,70.967735,10,4.63819974964089,5.43231019297617,5.36180025035911
3.2258062,74.19354,7,4.41273488883319,6.02088562488295,2.58726511116681
3.2258062,77.41935,6,4.17053397008096,6.61655001322328,1.82946602991904
3.2258062,80.64516,6,3.97037433361284,7.31667261271435,2.02962566638716
3.2258062,83.870964,6,3.70334895952418,7.58057811374262,2.29665104047582
3.2258062,87.09677,5,3.61128209900247,8.48265981257846,1.38871790099753
3.2258062,90.32257,3,3.58385618848022,9.64712338608507,-0.583856188480221
3.2258062,93.54838,0,3.58932701651948,10.9612569920495,-3.58932701651948
3.2258062,96.774185,0,3.75158887154972,13.3901619408965,-3.75158887154972
3.2258062,100,1,4.03925008211426,17.0562369811977,-3.03925008211426
6.4516125,0,0,16.3393437304727,35.7893597280513,-16.3393437304727
6.4516125,3.2258062,2,18.2076122194097,34.2588662274802,-16.2076122194097
6.4516125,6.4516125,1,20.8038672386685,34.6406109432634,-19.8038672386685
6.4516125,9.677419,5,25.1098193153435,39.7434223814383,-20.1098193153435
6.4516125,12.903225,3,29.6916922155749,45.0472537311581,-26.6916922155749
6.4516125,16.129032,1,35.3022200578394,54.766155640386,-34.3022200578394
6.4516125,19.354837,4,39.3464574227541,60.4943874423933,-35.3464574227541
6.4516125,22.580643,3,42.7005711714427,65.2607752144534,-39.7005711714427
6.4516125,25.80645,2,44.5650301862082,66.4376898216881,-42.5650301862082
6.4516125,29.032257,4,44.7035272078106,62.3707209025204,-40.7035272078106
6.4516125,32.258064,5,42.5357115284948,51.8098454886649,-37.5357115284948
6.4516125,35.483868,8,39.7694529490537,41.4089542631813,-31.7694529490537
6.4516125,38.709675,12,34.255796852757,28.6414296197898,-22.255796852757
