y_obs
0
1
0
4
5
4
1
3
2
2
0
7
8
3
1
2
2
0
4
10
10
4
3
7
6
1
3
1
3
2
0
1
1
0
2
0
4
5
4
1
3
4
4
9
3
2
4
1
1
0
7
12
14
5
10
7
6
6
6
5
3
0
0
1
0
2
1
5
3
1
4
3
2
4
5
8
12
9
7
4
1
6
5
11
13
10
6
8
9
7
5
7
6
5
3
0
1
1
2
1
8
8
3
3
1
10
6
11
15
29
14
11
5
4
5
3
11
7
1
4
9
20
17
22
12
10
4
1
1
7
2
9
9
13
11
14
8
13
10
11
32
38
38
21
4
4
3
4
6
2
3
10
8
13
10
8
10
2
0
1
3
3
12
23
15
20
11
19
9
10
8
19
26
38
41
29
10
5
5
1
3
3
2
11
5
5
6
5
3
1
2
2
3
7
17
20
22
22
35
55
20
10
6
5
19
34
32
32
12
5
2
2
4
6
6
8
9
6
6
4
3
2
2
0
3
8
10
21
30
38
52
55
18
6
1
5
4
14
23
16
7
3
3
1
3
1
4
9
11
11
9
0
3
2
1
1
6
4
18
25
26
41
35
32
9
2
0
2
1
12
9
12
7
3
7
6
1
3
2
4
6
8
3
2
2
0
0
3
2
3
14
17
21
31
31
14
3
6
1
1
3
7
10
7
2
4
6
5
3
7
4
3
3
3
0
0
0
0
3
1
8
12
10
13
13
13
3
4
2
1
0
1
2
9
7
3
3
5
3
3
4
2
4
2
0
1
1
1
1
2
0
1
3
6
12
8
4
4
3
5
2
1
4
1
1
5
2
2
3
1
3
6
2
5
2
1
1
2
0
1
1
2
1
0
1
3
5
5
5
3
0
1
2
2
3
0
2
3
6
1
3
1
2
1
2
4
2
2
3
1
1
0
0
4
3
1
0
3
3
2
2
1
4
0
0
0
6
4
2
5
1
2
2
3
1
1
1
2
3
2
1
1
1
0
2
2
1
3
1
3
2
2
2
2
1
5
2
1
2
2
2
4
1
5
3
0
2
0
0
4
0
2
4
1
2
0
2
6
4
1
1
1
5
0
3
2
3
3
6
3
0
1
2
1
0
2
3
0
0
0
0
1
2
4
0
2
1
2
1
1
8
2
0
2
4
1
0
1
0
0
2
1
0
0
0
1
2
0
2
0
1
1
0
1
0
1
0
1
3
2
3
1
1
1
1
2
2
1
1
2
6
6
1
0
2
0
0
0
1
0
0
0
1
1
1
2
0
1
0
0
3
2
7
2
4
0
1
0
1
0
0
0
3
2
3
2
3
0
1
2
0
0
0
1
1
0
0
0
2
1
0
1
0
2
4
1
1
5
7
1
1
2
0
4
2
5
4
7
6
2
2
1
0
1
1
2
2
0
0
0
1
2
1
1
0
0
1
1
5
8
4
2
0
1
2
2
13
12
11
7
8
2
3
0
0
1
0
5
1
1
0
2
0
0
2
0
0
0
1
0
4
9
3
1
2
2
3
5
10
12
8
11
5
7
4
4
1
1
2
2
2
0
1
1
1
1
1
1
2
0
3
1
3
6
2
1
2
0
1
3
9
3
4
4
8
6
2
1
2
0
0
0
2
0
1
3
1
1
0
2
3
4
2
2
2
3
0
4
4
1
2
0
4
4
2
4
8
7
7
5
1
0
2
4
3
1
1
0
0
1
1
1
5
3
1
1
1
1
1
7
0
1
3
3
1
3
3
0
3
4
6
2
2
1
2
5
2
2
2
0
4
6
4
0
2
0
3
1
2
1
2
2
1
0
1
1
1
1
4
4
3
3
1
0
0
1
2
2
2
3
3
2
6
5
1
1
1
2
2
1
0
1
0
4
0
0
7
1
2
3
4
6
3
2
1
1
3
1
2
0
1
2
4
9
5
6
2
0
1
0
3
1
1
2
1
3
2
6
2
4
3
7
8
4
10
3
4
1
2
0
1
0
0
3
7
14
10
15
7
3
1
1
2
0
2
3
3
2
0
1
3
2
5
8
7
4
3
7
1
0
5
2
4
2
1
0
2
14
26
8
8
4
4
3
4
8
4
2
4
3
4
0
5
6
6
16
14
11
3
3
7
3
3
6
5
2
2
3
6
19
17
17
9
10
4
4
4
10
5
4
1
1
0
0
5
10
11
16
18
17
19
12
13
8
9
10
9
8
9
4
4
17
20
15
14
8
5
7
6
9
6
5
2
2
0
3
2
7
11
25
44
28
19
14
18
12
16
16
13
27
12
6
10
15
17
16
5
4
5
5
4
4
5
3
