x1,x2
0.0,0.0
0.0,3.2258062
0.0,6.4516125
0.0,9.677419
0.0,12.903225
0.0,16.129032
0.0,19.354837
0.0,22.580643
0.0,25.80645
0.0,29.032257
0.0,32.258064
0.0,35.483868
0.0,38.709675
0.0,41.935482
0.0,45.161285
0.0,48.387093
0.0,51.6129
0.0,54.838707
0.0,58.064514
0.0,61.290318
0.0,64.51613
0.0,67.74193
0.0,70.967735
0.0,74.19354
0.0,77.41935
0.0,80.64516
0.0,83.870964
0.0,87.09677
0.0,90.32257
0.0,93.54838
0.0,96.774185
0.0,100.0
3.2258062,0.0
3.2258062,3.2258062
3.2258062,6.4516125
3.2258062,9.677419
3.2258062,12.903225
3.2258062,16.129032
3.2258062,19.354837
3.2258062,22.580643
3.2258062,25.80645
3.2258062,29.032257
3.2258062,32.258064
3.2258062,35.483868
3.2258062,38.709675
3.2258062,41.935482
3.2258062,45.161285
3.2258062,48.387093
3.2258062,51.6129
3.2258062,54.838707
3.2258062,58.064514
3.2258062,61.290318
3.2258062,64.51613
3.2258062,67.74193
3.2258062,70.967735
3.2258062,74.19354
3.2258062,77.41935
3.2258062,80.64516
3.2258062,83.870964
3.2258062,87.09677
3.2258062,90.32257
3.2258062,93.54838
3.2258062,96.774185
3.2258062,100.0
6.4516125,0.0
6.4516125,3.2258062
6.4516125,6.4516125
6.4516125,9.677419
6.4516125,12.903225
6.4516125,16.129032
6.4516125,19.354837
6.4516125,22.580643
6.4516125,25.80645
6.4516125,29.032257
6.4516125,32.258064
6.4516125,35.483868
6.4516125,38.709675
6.4516125,41.935482
6.4516125,45.161285
6.4516125,48.387093
6.4516125,51.6129
6.4516125,54.838707
6.4516125,58.064514
6.4516125,61.290318
6.4516125,64.51613
6.4516125,67.74193
6.4516125,70.967735
6.4516125,74.19354
6.4516125,77.41935
6.4516125,80.64516
6.4516125,83.870964
6.4516125,87.09677
6.4516125,90.32257
6.4516125,93.54838
6.4516125,96.774185
6.4516125,100.0
9.677419,0.0
9.677419,3.2258062
9.677419,6.4516125
9.677419,9.677419
9.677419,12.903225
9.677419,16.129032
9.677419,19.354837
9.677419,22.580643
9.677419,25.80645
9.677419,29.032257
9.677419,32.258064
9.677419,35.483868
9.677419,38.709675
9.677419,41.935482
9.677419,45.161285
9.677419,48.387093
9.677419,51.6129
9.677419,54.838707
9.677419,58.064514
9.677419,61.290318
9.677419,64.51613
9.677419,67.74193
9.677419,70.967735
9.677419,74.19354
9.677419,77.41935
9.677419,80.64516
9.677419,83.870964
9.677419,87.09677
9.677419,90.32257
9.677419,93.54838
9.677419,96.774185
9.677419,100.0
12.903225,0.0
12.903225,3.2258062
12.903225,6.4516125
12.903225,9.677419
12.903225,12.903225
12.903225,16.129032
12.903225,19.354837
12.903225,22.580643
12.903225,25.80645
12.903225,29.032257
12.903225,32.258064
12.903225,35.483868
12.903225,38.709675
12.903225,41.935482
12.903225,45.161285
12.903225,48.387093
12.903225,51.6129
12.903225,54.838707
12.903225,58.064514
12.903225,61.290318
12.903225,64.51613
12.903225,67.74193
12.903225,70.967735
12.903225,74.19354
12.903225,77.41935
12.903225,80.64516
12.903225,83.870964
12.903225,87.09677
12.903225,90.32257
12.903225,93.54838
12.903225,96.774185
12.903225,100.0
16.129032,0.0
16.129032,3.2258062
16.129032,6.4516125
16.129032,9.677419
16.129032,12.903225
16.129032,16.129032
16.129032,19.354837
16.129032,22.580643
16.129032,25.80645
16.129032,29.032257
16.129032,32.258064
16.129032,35.483868
16.129032,38.709675
16.129032,41.935482
16.129032,45.161285
16.129032,48.387093
16.129032,51.6129
16.129032,54.838707
16.129032,58.064514
16.129032,61.290318
16.129032,64.51613
16.129032,67.74193
16.129032,70.967735
16.129032,74.19354
16.129032,77.41935
16.129032,80.64516
16.129032,83.870964
16.129032,87.09677
16.129032,90.32257
16.129032,93.54838
16.129032,96.774185
16.129032,100.0
19.354837,0.0
19.354837,3.2258062
19.354837,6.4516125
19.354837,9.677419
19.354837,12.903225
19.354837,16.129032
19.354837,19.354837
19.354837,22.580643
19.354837,25.80645
19.354837,29.032257
19.354837,32.258064
19.354837,35.483868
19.354837,38.709675
19.354837,41.935482
19.354837,45.161285
19.354837,48.387093
19.354837,51.6129
19.354837,54.838707
19.354837,58.064514
19.354837,61.290318
19.354837,64.51613
19.354837,67.74193
19.354837,70.967735
19.354837,74.19354
19.354837,77.41935
19.354837,80.64516
19.354837,83.870964
19.354837,87.09677
19.354837,90.32257
19.354837,93.54838
19.354837,96.774185
19.354837,100.0
22.580643,0.0
22.580643,3.2258062
22.580643,6.4516125
22.580643,9.677419
22.580643,12.903225
22.580643,16.129032
22.580643,19.354837
22.580643,22.580643
22.580643,25.80645
22.580643,29.032257
22.580643,32.258064
22.580643,35.483868
22.580643,38.709675
22.580643,41.935482
22.580643,45.161285
22.580643,48.387093
22.580643,51.6129
22.580643,54.838707
22.580643,58.064514
22.580643,61.290318
22.580643,64.51613
22.580643,67.74193
22.580643,70.967735
22.580643,74.19354
22.580643,77.41935
22.580643,80.64516
22.580643,83.870964
22.580643,87.09677
22.580643,90.32257
22.580643,93.54838
22.580643,96.774185
22.580643,100.0
25.80645,0.0
25.80645,3.2258062
25.80645,6.4516125
25.80645,9.677419
25.80645,12.903225
25.80645,16.129032
25.80645,19.354837
25.80645,22.580643
25.80645,25.80645
25.80645,29.032257
25.80645,32.258064
25.80645,35.483868
25.80645,38.709675
25.80645,41.935482
25.80645,45.161285
25.80645,48.387093
25.80645,51.6129
25.80645,54.838707
25.80645,58.064514
25.80645,61.290318
25.80645,64.51613
25.80645,67.74193
25.80645,70.967735
25.80645,74.19354
25.80645,77.41935
25.80645,80.64516
25.80645,83.870964
25.80645,87.09677
25.80645,90.32257
25.80645,93.54838
25.80645,96.774185
25.80645,100.0
29.032257,0.0
29.032257,3.2258062
29.032257,6.4516125
29.032257,9.677419
29.032257,12.903225
29.032257,16.129032
29.032257,19.354837
29.032257,22.580643
29.032257,25.80645
29.032257,29.032257
29.032257,32.258064
29.032257,35.483868
29.032257,38.709675
29.032257,41.935482
29.032257,45.161285
29.032257,48.387093
29.032257,51.6129
29.032257,54.838707
29.032257,58.064514
29.032257,61.290318
29.032257,64.51613
29.032257,67.74193
29.032257,70.967735
29.032257,74.19354
29.032257,77.41935
29.032257,80.64516
29.032257,83.870964
29.032257,87.09677
29.032257,90.32257
29.032257,93.54838
29.032257,96.774185
29.032257,100.0
32.258064,0.0
32.258064,3.2258062
32.258064,6.4516125
32.258064,9.677419
32.258064,12.903225
32.258064,16.129032
32.258064,19.354837
32.258064,22.580643
32.258064,25.80645
32.258064,29.032257
32.258064,32.258064
32.258064,35.483868
32.258064,38.709675
32.258064,41.935482
32.258064,45.161285
32.258064,48.387093
32.258064,51.6129
32.258064,54.838707
32.258064,58.064514
32.258064,61.290318
32.258064,64.51613
32.258064,67.74193
32.258064,70.967735
32.258064,74.19354
32.258064,77.41935
32.258064,80.64516
32.258064,83.870964
32.258064,87.09677
32.258064,90.32257
32.258064,93.54838
32.258064,96.774185
32.258064,100.0
35.483868,0.0
35.483868,3.2258062
35.483868,6.4516125
35.483868,9.677419
35.483868,12.903225
35.483868,16.129032
35.483868,19.354837
35.483868,22.580643
35.483868,25.80645
35.483868,29.032257
35.483868,32.258064
35.483868,35.483868
35.483868,38.709675
35.483868,41.935482
35.483868,45.161285
35.483868,48.387093
35.483868,51.6129
35.483868,54.838707
35.483868,58.064514
35.483868,61.290318
35.483868,64.51613
35.483868,67.74193
35.483868,70.967735
35.483868,74.19354
35.483868,77.41935
35.483868,80.64516
35.483868,83.870964
35.483868,87.09677
35.483868,90.32257
35.483868,93.54838
35.483868,96.774185
35.483868,100.0
38.709675,0.0
38.709675,3.2258062
38.709675,6.4516125
38.709675,9.677419
38.709675,12.903225
38.709675,16.129032
38.709675,19.354837
38.709675,22.580643
38.709675,25.80645
38.709675,29.032257
38.709675,32.258064
38.709675,35.483868
38.709675,38.709675
38.709675,41.935482
38.709675,45.161285
38.709675,48.387093
38.709675,51.6129
38.709675,54.838707
38.709675,58.064514
38.709675,61.290318
38.709675,64.51613
38.709675,67.74193
38.709675,70.967735
38.709675,74.19354
38.709675,77.41935
38.709675,80.64516
38.709675,83.870964
38.709675,87.09677
38.709675,90.32257
38.709675,93.54838
38.709675,96.774185
38.709675,100.0
41.935482,0.0
41.935482,3.2258062
41.935482,6.4516125
41.935482,9.677419
41.935482,12.903225
41.935482,16.129032
41.935482,19.354837
41.935482,22.580643
41.935482,25.80645
41.935482,29.032257
41.935482,32.258064
41.935482,35.483868
41.935482,38.709675
41.935482,41.935482
41.935482,45.161285
41.935482,48.387093
41.935482,51.6129
41.935482,54.838707
41.935482,58.064514
41.935482,61.290318
41.935482,64.51613
41.935482,67.74193
41.935482,70.967735
41.935482,74.19354
41.935482,77.41935
41.935482,80.64516
41.935482,83.870964
41.935482,87.09677
41.935482,90.32257
41.935482,93.54838
41.935482,96.774185
41.935482,100.0
45.161285,0.0
45.161285,3.2258062
45.161285,6.4516125
45.161285,9.677419
45.161285,12.903225
45.161285,16.129032
45.161285,19.354837
45.161285,22.580643
45.161285,25.80645
45.161285,29.032257
45.161285,32.258064
45.161285,35.483868
45.161285,38.709675
45.161285,41.935482
45.161285,45.161285
45.161285,48.387093
45.161285,51.6129
45.161285,54.838707
45.161285,58.064514
45.161285,61.290318
45.161285,64.51613
45.161285,67.74193
45.161285,70.967735
45.161285,74.19354
45.161285,77.41935
45.161285,80.64516
45.161285,83.870964
45.161285,87.09677
45.161285,90.32257
45.161285,93.54838
45.161285,96.774185
45.161285,100.0
48.387093,0.0
48.387093,3.2258062
48.387093,6.4516125
48.387093,9.677419
48.387093,12.903225
48.387093,16.129032
48.387093,19.354837
48.387093,22.580643
48.387093,25.80645
48.387093,29.032257
48.387093,32.258064
48.387093,35.483868
48.387093,38.709675
48.387093,41.935482
48.387093,45.161285
48.387093,48.387093
48.387093,51.6129
48.387093,54.838707
48.387093,58.064514
48.387093,61.290318
48.387093,64.51613
48.387093,67.74193
48.387093,70.967735
48.387093,74.19354
48.387093,77.41935
48.387093,80.64516
48.387093,83.870964
48.387093,87.09677
48.387093,90.32257
48.387093,93.54838
48.387093,96.774185
48.387093,100.0
51.6129,0.0
51.6129,3.2258062
51.6129,6.4516125
51.6129,9.677419
51.6129,12.903225
51.6129,16.129032
51.6129,19.354837
51.6129,22.580643
51.6129,25.80645
